ILLIQ,PE,PB,PS,CirculatedMarketValue,ChangeRatio,Liquidility
0.036759,15.009085,3.611316,1.429006,35166922393.5,-0.05194,0.000368
0.007588,15.241784,3.667306,1.451161,35712145996.5,0.0155,0.000222
0.008464,15.420187,3.710231,1.468146,36130150758.8,0.0117,0.000176
0.077782,14.807413,3.562792,1.409805,34694395270.9,-0.03974,0.000326
0.017571,15.358134,3.6953,1.462238,35984757798,0.03719,0.000296
0.031676,14.520417,3.493738,1.38248,34021952827.2,-0.05455,0.0003
0.014673,14.217909,3.420952,1.353678,33313162143.3,-0.02083,0.000278
0.015958,13.96194,3.359364,1.329308,32713416180,-0.018,0.000263
0.012684,14.171369,3.409754,1.349247,33204117422.7,0.015,0.000248
0.026449,13.760267,3.31084,1.310106,32240889057.4,-0.02901,0.00025
0.004257,13.705971,3.297776,1.304937,32113670216.7,-0.00395,0.000231
0.012834,14.023993,3.374294,1.335216,32858809140.8,0.0232,0.000222
0.0193,13.659431,3.286578,1.300506,32004625496.1,-0.026,0.00022
0.021714,13.263843,3.191396,1.262842,31077745371,-0.02896,0.00022
0.004898,13.318139,3.20446,1.268012,31204964211.7,0.00409,0.000208
0.016255,13.434489,3.232455,1.279089,31477576013.2,0.00874,0.000206
0.039628,12.806202,3.081283,1.21927,30005472285.1,-0.04677,0.000217
0.011939,12.992361,3.126075,1.236995,30441651167.5,0.01454,0.000211
0.005351,13.08544,3.148471,1.245857,30659740608.7,0.00716,0.000203
0.033478,13.674944,3.29031,1.301983,32040973736.3,0.04505,0.00021
0.005548,13.806807,3.322038,1.314537,32349933778,0.00964,5.5e-05
0.005004,13.729241,3.303375,1.307152,32168192577,-0.00562,5.3e-05
0.01751,14.055019,3.38176,1.33817,32931505621.2,0.02373,9.4e-05
0.002816,14.093803,3.391091,1.341862,33022376221.7,0.00276,7.7e-05
0.002793,14.117073,3.39669,1.344078,33076898582,0.00165,6.7e-05
0.020176,13.946427,3.355631,1.327831,32677067939.8,-0.01209,9e-05
0.025139,14.217909,3.420952,1.353678,33313162143.3,0.01947,0.000113
0.017063,14.435095,3.473209,1.374356,33822037506.1,0.01528,0.00012
0.013179,14.310988,3.443348,1.36254,33531251584.5,-0.0086,0.000121
0.013839,14.504904,3.490006,1.381003,33985604587,0.01355,0.000123
0.016196,14.706577,3.53853,1.400204,34458131709.6,0.0139,0.000127
0.021837,14.450608,3.476942,1.375833,33858385746.3,-0.01741,0.000134
0.006274,14.396311,3.463877,1.370664,33731166905.6,-0.00376,0.000129
0.040796,13.760267,3.31084,1.310106,32240889057.4,-0.04418,0.000149
0.011394,13.899887,3.344433,1.3234,32568023219.2,0.01015,0.000146
0.033488,13.504299,3.249251,1.285736,31641143094.1,-0.02846,0.000158
0.038918,13.861104,3.335102,1.319707,32477152618.7,0.02642,0.000389
0.040194,14.318745,3.445214,1.363279,33549425704.6,0.03302,0.000396
0.000449,14.310988,3.443348,1.36254,33531251584.5,-0.00054,0.000265
0.007988,14.559201,3.50307,1.386172,34112823427.7,0.01734,0.000219
0.006343,14.691063,3.534797,1.398727,34421783469.4,0.00906,0.000188
0.005362,14.776386,3.555327,1.40685,34621698790.5,0.00581,0.000165
0.017444,14.559201,3.50307,1.386172,34112823427.7,-0.0147,0.000167
0.015245,15.55205,3.741958,1.480701,36439110800.5,0.06819,0.000165
0.001824,15.497753,3.728894,1.475531,36311891959.8,-0.00349,0.000149
0.005491,15.730452,3.784883,1.497687,36857115562.8,0.01502,0.000139
0.011926,15.38916,3.702766,1.465192,36057454278.4,-0.0217,0.000137
0,15.38916,3.702766,1.465192,36057454278.4,0,0.000126
0.005278,15.52878,3.736359,1.478485,36384588440.2,0.00907,0.00012
0.004744,15.699426,3.777418,1.494732,36784419082.4,0.01099,0.000115
0.002709,15.55205,3.741958,1.480701,36439110800.5,-0.00939,0.000109
0.002707,15.614103,3.756889,1.486609,36584503761.3,0.00399,0.000104
0.00479,15.738209,3.78675,1.498425,36875289682.9,0.00795,0.000101
0.007863,15.598589,3.753156,1.485132,36548155521.1,-0.00887,0.0001
0.00062,15.606346,3.755022,1.48587,36566329641.2,0.0005,9.5e-05
0.008349,16.017448,3.853937,1.525011,37529558006.5,0.02634,9.4e-05
0.005056,16.203607,3.898728,1.542735,37965736888.9,0.01162,9.2e-05
0.003883,16.382009,3.941654,1.559721,38383741651.2,0.01101,9e-05
0.000189,16.374253,3.939787,1.558982,38365567531.1,-0.00047,8.6e-05
0,16.374253,3.939787,1.558982,38365567531.1,0,0
0.006781,16.606952,3.995777,1.581137,38910791134.1,0.01421,3.4e-05
0.004758,16.467332,3.962183,1.567844,38583656972.3,-0.00841,3.8e-05
0.012408,15.769235,3.794215,1.501379,36947986163.3,-0.04239,6e-05
0.003749,15.660643,3.768087,1.49104,36693548481.9,-0.00689,5.5e-05
0.00102,15.521023,3.734493,1.477747,36366414320.1,-0.00892,4.8e-05
